hour,Global_active_power
01/02/2010 00,0.3138333333333333
01/02/2010 01,0.3134666666666667
01/02/2010 02,0.5956333333333333
01/02/2010 03,0.7181
01/02/2010 04,0.3033666666666666
01/02/2010 05,0.2833333333333331
01/02/2010 06,1.4638333333333329
01/02/2010 07,2.0535999999999994
01/02/2010 08,1.4446
01/02/2010 09,1.4007
01/02/2010 10,1.3604333333333334
01/02/2010 11,1.4004000000000003
01/02/2010 12,1.3903
01/02/2010 13,0.9656000000000003
01/02/2010 14,0.3353333333333335
01/02/2010 15,0.3560333333333333
01/02/2010 16,0.2904333333333334
01/02/2010 17,0.4374
01/02/2010 18,0.8825666666666667
01/02/2010 19,2.7796666666666656
01/02/2010 20,2.913866666666666
01/02/2010 21,1.5260000000000007
01/02/2010 22,2.581066666666667
01/02/2010 23,2.1200666666666668
01/03/2007 00,0.2571666666666668
01/03/2007 01,0.3080666666666667
01/03/2007 02,0.2770666666666668
01/03/2007 03,0.2866000000000001
01/03/2007 04,0.2723000000000001
01/03/2007 05,1.169
01/03/2007 06,0.3651333333333333
01/03/2007 07,0.2631666666666665
01/03/2007 08,0.2911999999999999
01/03/2007 09,0.2748666666666666
01/03/2007 10,0.2517333333333333
01/03/2007 11,0.2982333333333333
01/03/2007 12,0.2753666666666667
01/03/2007 13,0.2697
01/03/2007 14,0.2795333333333333
01/03/2007 15,0.2757333333333331
01/03/2007 16,1.2437333333333338
01/03/2007 17,0.3188666666666668
01/03/2007 18,0.2785000000000001
01/03/2007 19,0.2784999999999999
01/03/2007 20,0.2501333333333332
01/03/2007 21,0.3098333333333332
01/03/2007 22,0.2678666666666667
01/03/2007 23,0.2637666666666667
01/03/2008 00,0.5705000000000002
01/03/2008 01,0.5774
01/03/2008 02,1.0759333333333336
01/03/2008 03,1.0029333333333332
01/03/2008 04,0.6013999999999998
01/03/2008 05,0.5474333333333335
01/03/2008 06,0.5631666666666668
01/03/2008 07,0.5830666666666666
01/03/2008 08,0.5633666666666667
01/03/2008 09,0.5507333333333334
01/03/2008 10,0.5623666666666668
01/03/2008 11,0.5661333333333333
01/03/2008 12,0.5565666666666667
01/03/2008 13,1.536266666666667
01/03/2008 14,0.6105666666666668
01/03/2008 15,0.5601666666666669
01/03/2008 16,0.5515333333333333
01/03/2008 17,0.6163333333333334
01/03/2008 18,0.5552
01/03/2008 19,1.1370000000000002
01/03/2008 20,2.3046
01/03/2008 21,0.8905
01/03/2008 22,0.6458666666666668
01/03/2008 23,1.3022333333333331
01/03/2009 00,0.5600666666666669
01/03/2009 01,0.3698333333333333
01/03/2009 02,0.3196999999999999
01/03/2009 03,0.3638666666666665
01/03/2009 04,0.3246333333333332
01/03/2009 05,0.3238000000000001
01/03/2009 06,0.3407
01/03/2009 07,0.7921
01/03/2009 08,0.9467333333333332
01/03/2009 09,3.2769000000000004
01/03/2009 10,3.732933333333333
01/03/2009 11,2.738766666666665
01/03/2009 12,3.2165666666666657
01/03/2009 13,1.725333333333333
01/03/2009 14,2.055233333333333
01/03/2009 15,4.105983333333334
